date,time,latitude,longitude,projection_x_coordinate,projection_y_coordinate,horizontalAccuracy,llhPositionValidFlags,roll,pitch,yaw,surge_velocity,sway_velocity,heave_velocity,speedAccuracy,headingAccuracy,nedVelocityValidFlags,roll_rate,pitch_rate,yaw_rate,surge_acceleration,sway_acceleration,heave_acceleration,azimuth_angle_reference,RL_azimuth_angle,FL_azimuth_angle,RR_azimuth_angle,FR_azimuth_angle,thruster_speed_reference,RL_thruster_speed,FL_thruster_speed,RR_thruster_speed,FR_thruster_speed,RL_thruster_force,FL_thruster_force,RR_thruster_force,FR_thruster_force,RL_thruster_current,FL_thruster_current,RR_thruster_current,FR_thruster_current
date,time,latitude,longitude,projection_x_coordinate,projection_y_coordinate,horizontalAccuracy,llhPositionValidFlags,platform_roll,platform_pitch,platform_yaw,platform_surge_rate_fore,platform_sway_rate_starboard,platform_heave_rate_down,platform_speed_accuracy,platform_track,platform_speed_validity,platform_roll_rate,platform_pitch_rate,platform_yaw_rate,platform_surge_acceleration_fore,platform_sway_acceleration_starboard,platform_heave_acceleration_down,azimuth_angle_reference,azimuth_angle,azimuth_angle,azimuth_angle,azimuth_angle,thruster_speed_reference,thruster_speed,thruster_speed,thruster_speed,thruster_speed,thruster_force,thruster_force,thruster_force,thruster_force,thruster_current,thruster_current,thruster_current,thruster_current
20220914,134036.000,45.43684500,12.35507500,-55.01,29.16,1.64200000,1,3.71,2.88,-152.94,0.20,0.00,0.00,0.190,9.137,1,1.49,-3.51,-0.06,-0.66,0.27,-9.79,0.00,12.05,-12.05,12.05,-12.05,0.00,1684.80,1603.80,1603.80,1563.30,11.60,10.51,10.51,9.99,3.28,3.22,2.86,3.31
20220914,134036.000,45.43684500,12.35507500,-55.01,29.16,1.64200000,1,3.88,2.42,-152.85,0.20,0.00,0.00,0.190,9.137,1,3.64,-4.74,0.66,-0.21,0.36,-9.58,30.00,12.52,-12.50,12.53,-12.51,1600.00,1692.90,1603.80,1611.90,1563.30,11.71,10.51,10.62,9.99,3.23,3.21,2.86,3.31
20220914,134036.000,45.43684500,12.35507500,-55.01,29.16,1.64200000,1,4.24,1.92,-152.82,0.20,0.00,0.00,0.190,9.137,1,3.30,-4.44,0.46,0.22,0.86,-9.40,30.00,12.44,-12.44,12.44,-12.44,1600.00,1684.80,1603.80,1611.90,1563.30,11.60,10.51,10.62,9.99,3.20,3.21,2.86,3.31
20220914,134036.249,45.43684200,12.35507300,-55.34,29.01,1.63900000,1,4.43,1.52,-152.86,0.19,0.00,0.00,0.190,9.630,1,1.68,-2.90,-0.00,-0.36,0.53,-9.59,30.00,7.22,-8.39,5.85,-7.22,1600.00,1684.80,1603.80,1611.90,1563.30,11.60,10.51,10.62,9.99,3.21,3.20,2.87,3.32
20220914,134036.249,45.43684200,12.35507300,-55.34,29.01,1.63900000,1,4.59,1.26,-152.86,0.19,0.00,0.00,0.190,9.630,1,1.82,-0.40,1.94,0.22,0.85,-9.75,30.00,-4.54,3.34,-4.64,4.56,1600.00,1660.50,1595.70,1595.70,1555.20,11.27,10.41,10.41,9.89,3.06,3.14,2.81,3.25
20220914,134036.499,45.43684000,12.35507000,-55.57,28.77,1.63500000,1,4.62,1.28,-152.70,0.18,0.00,0.00,0.180,8.888,1,-2.13,2.26,4.15,-0.08,1.03,-9.69,30.00,-16.29,15.05,-16.38,16.38,1600.00,1652.40,1579.50,1587.60,1539.00,11.16,10.20,10.30,9.68,3.11,3.10,2.79,3.21
20220914,134036.499,45.43684000,12.35507000,-55.57,28.77,1.63500000,1,4.25,1.49,-152.28,0.17,0.00,0.00,0.180,8.888,1,-5.50,3.00,5.84,-0.07,0.56,-9.75,30.00,-28.03,26.81,-28.08,28.17,1600.00,1660.50,1595.70,1587.60,1539.00,11.27,10.41,10.30,9.68,3.12,3.10,2.79,3.22
20220914,134036.749,45.43683700,12.35506800,-55.90,28.62,1.63000000,1,3.72,1.75,-151.60,0.15,0.00,0.00,0.180,9.040,1,-4.96,3.90,6.91,0.30,0.43,-9.85,30.00,-30.00,30.00,-30.00,30.00,1600.00,1660.50,1595.70,1587.60,1539.00,11.27,10.41,10.30,9.68,3.16,3.10,2.79,3.22
20220914,134036.749,45.43683700,12.35506800,-55.90,28.62,1.63000000,1,3.24,2.09,-150.87,0.13,0.00,0.00,0.180,9.040,1,-4.82,4.61,7.88,-0.16,0.42,-10.13,30.00,-30.00,30.00,-30.00,30.00,1600.00,1660.50,1595.70,1595.70,1539.00,11.27,10.41,10.41,9.68,3.17,3.11,2.80,3.22
20220914,134036.749,45.43683700,12.35506800,-55.90,28.62,1.63000000,1,3.24,2.09,-150.87,0.13,0.00,0.00,0.180,9.040,1,-4.82,4.61,7.88,-0.16,0.42,-10.13,30.00,-30.00,30.00,-30.00,30.00,1600.00,1660.50,1595.70,1595.70,1547.10,11.27,10.41,10.41,9.78,3.26,3.12,2.80,3.22
20220914,134037.000,45.43683500,12.35506600,-56.12,28.46,1.62600000,1,2.72,2.55,-148.87,0.08,0.00,0.00,0.190,9.137,1,0.30,1.54,12.22,-0.34,0.16,-9.87,30.00,-30.00,30.00,-30.00,30.00,1600.00,1660.50,1603.80,1595.70,1571.40,11.27,10.51,10.41,10.09,3.22,3.13,2.79,3.22
20220914,134037.000,45.43683500,12.35506600,-56.12,28.46,1.62600000,1,2.74,2.52,-147.67,0.06,0.00,0.00,0.190,9.137,1,0.32,0.39,11.87,-0.18,0.10,-9.85,30.00,-30.00,30.00,-30.00,30.00,1600.00,1652.40,1595.70,1603.80,1579.50,11.16,10.41,10.51,10.20,3.25,3.13,2.79,3.22
20220914,134037.249,45.43683300,12.35506400,-56.34,28.31,1.62100000,1,2.81,2.36,-146.25,0.03,0.00,0.00,0.180,9.216,1,1.90,-1.69,14.02,-0.42,0.10,-9.56,30.00,-30.00,30.00,-30.00,30.00,1600.00,1660.50,1603.80,1603.80,1579.50,11.27,10.51,10.51,10.20,3.31,3.13,2.78,3.22
20220914,134037.249,45.43683300,12.35506400,-56.34,28.31,1.62100000,1,2.81,2.36,-146.25,0.03,0.00,0.00,0.180,9.216,1,1.90,-1.69,14.02,-0.42,0.10,-9.56,30.00,-30.00,30.00,-30.00,30.00,1600.00,1668.60,1595.70,1603.80,1587.60,11.38,10.41,10.51,10.30,3.32,3.13,2.77,3.22
20220914,134037.249,45.43683300,12.35506400,-56.34,28.31,1.62100000,1,2.81,2.36,-146.25,0.03,0.00,0.00,0.180,9.216,1,1.90,-1.69,14.02,-0.42,0.10,-9.56,30.00,-30.00,30.00,-30.00,30.00,1600.00,1684.80,1611.90,1611.90,1595.70,11.60,10.62,10.62,10.41,3.44,3.20,2.85,3.28
20220914,134037.249,45.43683300,12.35506400,-56.34,28.31,1.62100000,1,2.81,2.36,-146.25,0.03,0.00,0.00,0.180,9.216,1,1.90,-1.69,14.02,-0.42,0.10,-9.56,30.00,-30.00,30.00,-30.00,30.00,1600.00,1692.90,1628.10,1628.10,1620.00,11.71,10.83,10.83,10.73,3.46,3.24,2.86,3.32
20220914,134037.249,45.43683300,12.35506400,-56.34,28.31,1.62100000,1,2.81,2.36,-146.25,0.03,0.00,0.00,0.180,9.216,1,1.90,-1.69,14.02,-0.42,0.10,-9.56,30.00,-30.00,30.00,-30.00,30.00,1600.00,1701.00,1628.10,1628.10,1620.00,11.83,10.83,10.83,10.73,3.48,3.24,2.84,3.31
20220914,134037.249,45.43683300,12.35506400,-56.34,28.31,1.62100000,1,2.81,2.36,-146.25,0.03,0.00,0.00,0.180,9.216,1,1.90,-1.69,14.02,-0.42,0.10,-9.56,30.00,-30.00,30.00,-30.00,30.00,1600.00,1701.00,1628.10,1620.00,1620.00,11.83,10.83,10.73,10.73,3.46,3.24,2.85,3.31
20220914,134037.249,45.43683300,12.35506400,-56.34,28.31,1.62100000,1,2.81,2.36,-146.25,0.03,0.00,0.00,0.180,9.216,1,1.90,-1.69,14.02,-0.42,0.10,-9.56,30.00,-30.00,30.00,-30.00,30.00,1600.00,1701.00,1628.10,1620.00,1620.00,11.83,10.83,10.73,10.73,3.48,3.24,2.83,3.31
20220914,134037.249,45.43683300,12.35506400,-56.34,28.31,1.62100000,1,2.81,2.36,-146.25,0.03,0.00,0.00,0.180,9.216,1,1.90,-1.69,14.02,-0.42,0.10,-9.56,30.00,-30.00,30.00,-30.00,30.00,1600.00,1692.90,1636.20,1620.00,1620.00,11.71,10.94,10.73,10.73,3.41,3.24,2.83,3.31
20220914,134037.249,45.43683300,12.35506400,-56.34,28.31,1.62100000,1,2.81,2.36,-146.25,0.03,0.00,0.00,0.180,9.216,1,1.90,-1.69,14.02,-0.42,0.10,-9.56,30.00,-30.00,30.00,-30.00,30.00,1600.00,1692.90,1636.20,1620.00,1620.00,11.71,10.94,10.73,10.73,3.41,3.23,2.83,3.30
20220914,134037.249,45.43683300,12.35506400,-56.34,28.31,1.62100000,1,2.81,2.36,-146.25,0.03,0.00,0.00,0.180,9.216,1,1.90,-1.69,14.02,-0.42,0.10,-9.56,30.00,-30.00,30.00,-30.00,30.00,1600.00,1701.00,1636.20,1611.90,1620.00,11.83,10.94,10.62,10.73,3.46,3.23,2.83,3.30
20220914,134037.249,45.43683300,12.35506400,-56.34,28.31,1.62100000,1,2.81,2.36,-146.25,0.03,0.00,0.00,0.180,9.216,1,1.90,-1.69,14.02,-0.42,0.10,-9.56,30.00,-30.00,30.00,-30.00,30.00,1600.00,1692.90,1644.30,1620.00,1620.00,11.71,11.05,10.73,10.73,3.47,3.23,2.82,3.30
20220914,134037.249,45.43683300,12.35506400,-56.34,28.31,1.62100000,1,2.81,2.36,-146.25,0.03,0.00,0.00,0.180,9.216,1,1.90,-1.69,14.02,-0.42,0.10,-9.56,30.00,-30.00,30.00,-30.00,30.00,1600.00,1701.00,1644.30,1620.00,1620.00,11.83,11.05,10.73,10.73,3.47,3.23,2.83,3.30
20220914,134037.249,45.43683300,12.35506400,-56.34,28.31,1.62100000,1,2.81,2.36,-146.25,0.03,0.00,0.00,0.180,9.216,1,1.90,-1.69,14.02,-0.42,0.10,-9.56,30.00,-30.00,30.00,-30.00,30.00,1600.00,1701.00,1644.30,1620.00,1611.90,11.83,11.05,10.73,10.62,3.51,3.22,2.82,3.30
