,,,,,,,,
,,,,,,,,
,,"In this file, we define the variable attributes for each variable of the log file. In the first table we define which attributes should be included for each of our variables. Not all attributes are reported. Check https://cfconventions.org/cf-conventions/cf-conventions.html#attribute-appendix for all attributes. We consider the NUG convention (standard NETCDF guide) and the CF convention (Climate and Forecast). The column M-O-NI it is used to decide the usage of the attribute in our dataset (Mandatory, Optional,Not Included). In the second table we list all of our variables starting from SWAMP v2 log file. ",,,,,,
,,,,,,,,
,,Attribute,Convention,Description,M-O-NI,Example,Notes,
,,units,NUG/ACDD,A character string that specifies the units used for the variable's data,O,degK,find the reccomended list. The units attribute is not required for dimensionless coordinates.,
,,long_name,NUG/ACDD,"A long descriptive name. This could be used for labeling plots, for example. If a variable has no long_name attribute assigned, the variable name should be used as a default.",M,Air: daily mean 3-hourly Air Temperature at 2 m,,
,,_FillValue,NUG,The _FillValue attribute specifies the fill value used to pre-fill disk space allocated to the variable. Such pre-fill occurs unless nofill mode is set,O,9999,,
,,_NoFill,NUG,"This attribute is not treated in any special way by the library or conforming generic application, but it is interpreted by the ncgen utility when converting a CDL file to a binary netCDF files",NI,,,
,,missing_value,NUG,The missing_value attribute can be a scalar or vector containing values indicating missing data. These values should all be outside the valid range so that generic applications will treat them as missing.,NI,9999,,
,,valid_min,NUG,A scalar specifying the minimum valid value for this variable,O,0,,
,,valid_max,NUG,A scalar specifying the maximum valid value for this variable.,O,350,,
,,valid_range,NUG,"A vector of two numbers specifying the minimum and maximum valid values for this variable, equivalent to specifying values for both valid_min and valid_max attributes. Any of these attributes define the valid range. The attribute valid_range must not be defined if either valid_min or valid_max is defined.",O,"
[0.  350.]",,
,,scale_factor,NUG,"If present for a variable, the data are to be multiplied by this factor after the data are read by the application that accesses the data. If valid values are specified using the valid_min, valid_max, valid_range, or _FillValue attributes, those values should be specified in the domain of the data in the file (the packed data), so that they can be interpreted before the scale_factor and add_offset are applied.",O,1.2,,
,,add_offset,NUG,"If present for a variable, this number is to be added to the data after it is read by the application that accesses the data. If both scale_factor and add_offset attributes are present, the data are first scaled before the offset is added.",O,0,,
,,Coordinates,NUG/CF,-,-,-,-,
,,C_format,NUG,A character array providing the format that should be used by C applications to print values for this variable.,O,%.3g,https://docs.microsoft.com/en-us/cpp/c-runtime-library/format-specification-syntax-printf-and-wprintf-functions?view=msvc-170,
